City,Latitude,Longitude,Consultants
Little Rock,34.7465,-92.2896,5
Greenbrier,35.2340,-92.3877,3
Hot Springs,34.5037,-93.0552,3
Searcy,35.2506,-91.7362,3
Fayetteville,36.0626,-94.1574,2
Russellville,35.2784,-93.1338,2
Austin,34.9984,-91.9838,1
Berryville,36.3648,-93.5680,1
Bono,35.9087,-90.8023,1
Brinkley,34.8879,-91.1946,1
Cabot,34.9745,-92.0165,1
Fort Smith,35.3859,-94.3985,1
Green Forest,36.3354,-93.4360,1
Harrisburg,35.5643,-90.7168,1
Hensley,34.5054,-92.2054,1
Joiner,35.5081,-90.1473,1
Lonoke,34.7839,-91.8999,1
Mabelvale,34.6570,-92.3868,1
McRae,35.1151,-91.8807,1
New Blaine,35.2912,-93.4202,1
Paragould,36.0584,-90.4973,1
Pine Bluff,34.2284,-92.0032,1
Rector,36.2631,-90.2926,1
Rogers,36.3320,-94.1185,1
Salem,36.3712,-91.8226,1
Ward,35.0304,-91.9501,1
Helena/West Helena,34.5291,-90.5901,1
DeQueen,34.0379,-94.3413,1
